iter	Passed	Remaining
663	14666	7421
664	14705	7408
665	14743	7393
666	14775	7376
667	14793	7352
668	14838	7341
669	14872	7325
670	14922	7316
671	14947	7295
672	14984	7280
673	15023	7266
674	15057	7249
675	15079	7227
676	15098	7203
677	15118	7180
678	15139	7157
679	15161	7134
680	15237	7137
681	15266	7118
682	15300	7101
683	16847	7783
684	16966	7801
685	16998	7780
686	17024	7756
687	17054	7733
688	17094	7716
689	17147	7703
690	17221	7701
691	17252	7679
692	17295	7662
693	17335	7643
694	17363	7619
695	17392	7596
696	17418	7572
697	17443	7547
698	17480	7527
699	17518	7508
700	17552	7486
701	17598	7470
702	17626	7446
703	17678	7432
704	17723	7416
705	17743	7388
706	17807	7379
707	17843	7359
708	17873	7335
709	17921	7319
710	17964	7301
711	18057	7304
712	18099	7285
713	18140	7266
714	18162	7239
715	18181	7211
716	18204	7185
717	18234	7161
718	18251	7133
719	18298	7115
720	18319	7088
721	18339	7061
722	18356	7032
723	18373	7004
724	18402	6980
725	18428	6954
726	18467	6934
727	18493	6909
728	18517	6883
729	18539	6857
730	18556	6828
731	18574	6800
732	18590	6771
733	18607	6743
734	18623	6714
735	18640	6686
736	18658	6658
737	18674	6629
738	18693	6602
739	18710	6574
740	18727	6545
741	18751	6520
742	18779	6495
743	18804	6470
744	18823	6442
745	18843	6415
746	18869	6390
747	18888	6363
748	18906	6335
749	18925	6308
750	18943	6280
751	18961	6253
752	18984	6227
753	19001	6199
754	19019	6172
755	19037	6144
756	19055	6116
757	19072	6089
758	19091	6061
759	19112	6035
760	19139	6010
761	19162	5985
762	19183	5958
763	19211	5934
764	19266	5918
765	19285	5891
766	19311	5866
767	19329	5839
768	19344	5811
769	19360	5782
770	19374	5754
771	19389	5726
772	19403	5698
773	19418	5669
774	19439	5643
775	19459	5617
776	19476	5589
777	19496	5563
778	19512	5535
779	19530	5508
780	19551	5482
781	19571	5456
782	19593	5430
783	19620	5405
784	19640	5379
785	19663	5353
786	19702	5332
787	19729	5308
788	19749	5281
789	19763	5253
790	19779	5226
791	19795	5198
792	19812	5171
793	19828	5144
794	19843	5116
795	19858	5089
796	19874	5062
797	19889	5034
798	19905	5007
799	19921	4980
800	19938	4953
801	19965	4929
802	19982	4902
803	20000	4875
804	20025	4850
805	20048	4825
806	20066	4798
807	20082	4772
808	20103	4746
809	20129	4721
810	20148	4695
811	20163	4668
812	20182	4642
813	20200	4615
814	20215	4588
815	20230	4561
816	20246	4535
817	20263	4508
818	20283	4482
819	20300	4456
820	20319	4430
821	20335	4403
822	20356	4377
823	20370	4351
824	20386	4324
825	20400	4297
826	20416	4270
827	20432	4244
828	20449	4218
829	20470	4192
830	20487	4166
831	20503	4140
832	20518	4113
833	20535	4087
834	20553	4061
835	20573	4035
836	20592	4010
837	20610	3984
838	20626	3958
839	20642	3931
840	20656	3905
841	20675	3879
842	20691	3853
843	20706	3827
844	20720	3800
845	20735	3774
846	20750	3748
847	20766	3722
848	20784	3696
849	20800	3670
850	20814	3644
851	20830	3618
852	20844	3592
853	20859	3566
854	20874	3540
855	20889	3514
856	20910	3489
857	20925	3463
858	20940	3437
859	20955	3411
860	20970	3385
861	20986	3359
862	21002	3334
863	21017	3308
864	21037	3283
865	21054	3257
866	21069	3232
867	21086	3206
868	21105	3181
869	21128	3157
870	21151	3132
871	21168	3107
872	21184	3081
873	21202	3056
874	21218	3031
875	21233	3005
876	21250	2980
877	21265	2954
878	21281	2929
879	21297	2904
880	21312	2878
881	21327	2853
882	21342	2827
883	21358	2802
884	21389	2779
885	21423	2756
886	21441	2731
887	21459	2706
888	21475	2681
