,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
358,12Liberty County,326.7,
359,12Madison County,391.5,
360,12Manatee County,247.6,132.4
361,12Marion County,398.3,281.0
362,12Martin County,216.4,139.7
363,12Miami-Dade County,278.2,163.3
364,12Monroe County,239.3,156.9
365,12Nassau County,311.4,142.1
366,12Okaloosa County,288.6,89.1
367,12Okeechobee County,357.6,153.0
368,12Orange County,281.4,154.3
369,12Osceola County,297.9,149.4
370,12Palm Beach County,243.2,150.4
371,12Pasco County,306.6,154.5
372,12Pinellas County,272.4,153.8
373,12Polk County,301.9,147.5
374,12Putnam County,313.8,165.8
375,12St. Johns County,216.5,126.5
376,12St. Lucie County,262.9,162.7
377,12Santa Rosa County,302.5,125.4
378,12Sarasota County,210.8,94.7
379,12Seminole County,254.7,149.6
380,12Sumter County,248.9,146.9
381,12Suwannee County,338.2,
382,12Taylor County,357.9,
383,12Union County,512.5,118.3
384,12Volusia County,336.3,171.4
385,12Wakulla County,323.4,
386,12Walton County,276.9,142.6
387,12Washington County,468.6,280.9
388,13Appling County,421.2,
389,13Atkinson County,478.5,
390,13Bacon County,486.0,
391,13Baker County,398.5,
392,13Baldwin County,548.9,
393,13Banks County,363.4,
394,13Barrow County,306.8,144.7
395,13Bartow County,436.0,160.4
396,13Ben Hill County,503.0,
397,13Berrien County,432.4,
398,13Bibb County,514.8,183.4
399,13Bleckley County,407.0,
400,13Brantley County,437.0,
401,13Brooks County,359.7,
402,13Bryan County,358.2,155.7
403,13Bulloch County,341.8,
404,13Burke County,430.3,236.5
405,13Butts County,372.7,216.6
406,13Calhoun County,410.2,
407,13Camden County,370.4,
408,13Candler County,426.3,
409,13Carroll County,430.7,148.2
410,13Catoosa County,338.6,158.3
411,13Charlton County,315.2,
412,13Chatham County,355.9,201.5
413,13Chattahoochee County,354.7,238.3
414,13Chattooga County,501.8,
415,13Cherokee County,289.8,165.1
416,13Clarke County,342.9,
417,13Clay County,428.3,
418,13Clayton County,366.4,167.5
419,13Clinch County,625.5,
420,13Cobb County,266.2,151.8
421,13Coffee County,456.3,
422,13Colquitt County,327.0,
423,13Columbia County,231.3,199.3
424,13Cook County,465.8,
425,13Coweta County,372.4,191.5
426,13Crawford County,460.3,
427,13Crisp County,437.1,
428,13Dade County,491.0,170.9
429,13Dawson County,309.8,102.9
430,13Decatur County,497.2,
431,13DeKalb County,243.9,131.0
432,13Dodge County,390.2,
433,13Dooly County,391.7,
434,13Dougherty County,326.6,
435,13Douglas County,417.3,138.4
436,13Early County,531.6,
437,13Echols County,279.8,
438,13Effingham County,364.8,183.3
439,13Elbert County,443.3,
440,13Emanuel County,534.1,
441,13Evans County,375.5,
442,13Fannin County,345.9,
443,13Fayette County,264.8,164.4
444,13Floyd County,522.5,
445,13Forsyth County,244.9,106.3
446,13Franklin County,528.7,
447,13Fulton County,269.1,130.0
448,13Gilmer County,363.2,
449,13Glascock County,415.3,
450,13Glynn County,340.5,
451,13Gordon County,443.5,197.7
452,13Grady County,375.3,
453,13Greene County,339.8,
454,13Gwinnett County,232.3,136.1
455,13Habersham County,321.3,
456,13Hall County,283.5,123.8
457,13Hancock County,395.2,
458,13Haralson County,500.5,
459,13Harris County,303.0,139.6
460,13Hart County,380.1,
461,13Heard County,396.6,
462,13Henry County,360.7,198.7
463,13Houston County,415.0,194.2
464,13Irwin County,474.5,
465,13Jackson County,392.9,
466,13Jasper County,365.7,
467,13Jeff Davis County,498.3,
468,13Jefferson County,498.3,237.5
469,13Jenkins County,361.0,
470,13Johnson County,451.7,
471,13Jones County,347.8,
472,13Lamar County,411.8,
473,13Lanier County,360.4,
474,13Laurens County,455.1,
475,13Lee County,432.8,
476,13Liberty County,359.0,
477,13Lincoln County,323.5,
478,13Long County,325.3,
479,13Lowndes County,376.0,
480,13Lumpkin County,318.3,
481,13McDuffie County,455.2,199.8
482,13McIntosh County,298.6,
483,13Macon County,440.8,
484,13Madison County,391.0,
485,13Marion County,455.2,
486,13Meriwether County,503.5,
487,13Miller County,451.7,
488,13Mitchell County,374.6,
489,13Monroe County,348.6,
490,13Montgomery County,384.7,
